823002243158908928	Weerschoonebeek	| Temp -2.3 oC | Windsnelheid 0.9 km/h uit SE | 0.0 mm neerslag| wolkenhoogte:105 meter |	| Temp -2.3 oC | Windsnelheid 0.9 km /h uit SE | 0.0 mm neerslag | wolkenhoogte :105 meter |
823008330314579968	iamraydhack	listening to Peli Waar	listening to Peli Waar
823008335054172160	p2000_alarm	P2000 melding Ambulance: Ambulance met gepaste spoed naar Veenwortelvaart in Zoetermeer	P2000 melding Ambulance : Ambulance met gepaste spoed naar Veenwortelvaart in Zoetermeer
823008336262103040	p2000_alarm	P2000 melding Ambulance: Ambulance met gepaste spoed naar Mozartlaan in 's-Gravenhage	P2000 melding Ambulance : Ambulance met gepaste spoed naar Mozartlaan in ' s-Gravenhage
823008337268797442	p2000_alarm	P2000 melding Ambulance: Ambulance met spoed naar Veenwortelvaart in Zoetermeer	P2000 melding Ambulance : Ambulance met spoed naar Veenwortelvaart in Zoetermeer
823008338325700608	p2000_alarm	P2000 melding Ambulance: Ambulance met spoed naar Buizerdveld in Zoetermeer	P2000 melding Ambulance : Ambulance met spoed naar Buizerdveld in Zoetermeer
823008339483328513	p2000_alarm	P2000 melding Ambulance: Ambulance met spoed naar Ametisthorst in 's-Gravenhage	P2000 melding Ambulance : Ambulance met spoed naar Ametisthorst in ' s-Gravenhage
823008339235770368	Shanna_w	Dag 1&2 in Orlando in 60seconden! 👌🏻#waltdisneyworld #orlando #vetblijmetmebutton #wateenwereld… https://t.co/yZivIv4GIZ	Dag 1&2 in Orlando in 60 seconden ! 👌🏻 #waltdisneyworld #orlando #vetblijmetmebutton #wateenwereld … https://t.co/yZivIv4GIZ
823008340825538561	p2000_alarm	P2000 melding Ambulance: Brandweer met gepaste spoed naar Benschoplaan in 's-Gravenhage	P2000 melding Ambulance : Brandweer met gepaste spoed naar Benschoplaan in ' s-Gravenhage
823008345116196864	BoktorBot	DUTCHTUBER IS EEN FUCKER!	DUTCHTUBER IS EEN FUCKER !
823008346538213376	scratchingmymap	Scratchingmymap in april: van mijn eigen moestuin tot Friesland. https://t.co/9ASxaHRpro #archief #oldpost	Scratchingmymap in april : van mijn eigen moestuin tot Friesland . https://t.co/9ASxaHRpro #archief #oldpost
823008388795793409	P2000m112	Melding #ambulance: A2 5296NT 12 : Het Kruys Esch Obj: Rit: 3294 https://t.co/pXOIbBxnLS	Melding #ambulance : A2 5296 NT 12 : Het Kruys Esch Obj : Rit : 3294 https://t.co/pXOIbBxnLS
823008390729388032	hopje_haags	RT @DDStandaard: Rutte maakt zijn Wildersafkeer nog even duidelijk: “ook geen gedoogconstructie met de PVV!” https://t.co/bJEFb4Kl7D	RT @DDStandaard : Rutte maakt zijn Wildersafkeer nog even duidelijk : “ ook geen gedoogconstructie met de PVV !” https://t.co/bJEFb4Kl7D
823008391320702977	diqsa414	SAM DEKKER CAME TO HOOP!!	SAM DEKKER CAME TO HOOP !!
823008396450365440	verzekeringidee	Onderzoek: digital marketing onderbelicht bij Nederlandse verzekeraars Online labels laten slechte resultaten zie… https://t.co/SiiTMwsBsq	Onderzoek : digital marketing onderbelicht bij Nederlandse verzekeraars Online labels laten slechte resultaten zie … https://t.co/SiiTMwsBsq
823008399847780353	6iTest	Wordt er getweet? #6iTest	Wordt er getweet ? #6iTest
823008403803041792	VirtualRadioNL	Nu op Virtual Radio: Sylver - Skin ♬	Nu op Virtual Radio : Sylver - Skin ♬
823008415693893634	p2000_alarm	P2000 melding Brandweer: Meting koolmonoxide op Benschoplaan in 's-Gravenhage, brandweer met gepaste spoed ter plaatse	P2000 melding Brandweer : Meting koolmonoxide op Benschoplaan in ' s-Gravenhage , brandweer met gepaste spoed ter plaatse
823008432345194496	bottiethebot	@kimpittoors #BottieSays Niets is zo omdat een dorp of kleine plaats minder zoekopdrachten krijgt.	@kimpittoors #BottieSays Niets is zo omdat een dorp of kleine plaats minder zoekopdrachten krijgt .
823008435151269890	_Veluwe	Video | Geen treinen door sloop oude spoorwegovergang #Harderwijk https://t.co/miAiiYhh2N Er rijden dit weekeinde geen intercitytreinen tu…	Video | Geen treinen door sloop oude spoorwegovergang #Harderwijk https://t.co/miAiiYhh2N Er rijden dit weekeinde geen intercitytreinen tu …
823008454277144576	HLN_BE	Raf Sidorski verkozen tot nieuwe prins carnaval in Aalst https://t.co/3jQbWmpkQf #hln https://t.co/PHbKDKk4oM	Raf Sidorski verkozen tot nieuwe prins carnaval in Aalst https://t.co/3jQbWmpkQf #hln https://t.co/PHbKDKk4oM
823008458383495168	TeunvanErp	Deze mensen zijn, in tegenstelling tot mij, niet grappig https://t.co/99KZvoyYSA	Deze mensen zijn , in tegenstelling tot mij , niet grappig https://t.co/99KZvoyYSA
823008467841585152	LinnerTop111	Duo Laot Gaon - Wie aojer jao wie gekker (15) #NowPlaying #LinnerTop111 (01/22/2017 04:24:43)	Duo Laot Gaon - Wie aojer jao wie gekker (15) #NowPlaying #LinnerTop111 (01/22/2017 04:24:43)
823008470630887424	247robby	#Flevo #Vrouwen #rijden #beter #auto, daarom kunnen wij ze #goedkoper #verzekeren. https://t.co/B3PBVBxNVF	#Flevo #Vrouwen #rijden #beter #auto , daarom kunnen wij ze #goedkoper #verzekeren . https://t.co/B3PBVBxNVF
823008483465314304	Vlaanderen	#HLN Raf Sidorski verkozen tot nieuwe prins carnaval in Aalst https://t.co/1lKeycviJG #binnenland https://t.co/s1qszVJwiR	#HLN Raf Sidorski verkozen tot nieuwe prins carnaval in Aalst https://t.co/1lKeycviJG #binnenland https://t.co/s1qszVJwiR
823008490759274499	Roan_NL_	Ik vind een @YouTube-video van @yaraskygaming leuk: https://t.co/TdDeH70etU RAPID FIRE ZONDER GRIP? (COD: Black Ops 3 KUDA Setup)	Ik vind een @YouTube - video van @yaraskygaming leuk : https://t.co/TdDeH70etU RAPID FIRE ZONDER GRIP ? ( COD : Black Ops 3 KUDA Setup )
823008495075262464	openomroep	#politie #meldingen Rotterdam - Vrouw (41) gewond bij steekpartij Rotterdam: Bij een… https://t.co/DbVhV9AwAb	#politie #meldingen Rotterdam - Vrouw (41) gewond bij steekpartij Rotterdam : Bij een … https://t.co/DbVhV9AwAb
823008495498891264	Dapperdikkerdje	"Ga na de advertentie-website".. zal er ooit iemand op zo'n YouTube-link klikken? #Alldays #meervanweten 😁	" Ga na de advertentie-website ".. zal er ooit iemand op zo'n YouTube-link klikken ? #Alldays #meervanweten 😁
823008496581021696	GoaTranceNET	RT @kuitenbrouwer: De politieke pers moet minder luisteren naar wat politici zeggen en meer kijken naar wat zij doen. Trump gaat daar nu vo…	RT @kuitenbrouwer : De politieke pers moet minder luisteren naar wat politici zeggen en meer kijken naar wat zij doen . Trump gaat daar nu vo …
823008505263165440	bordeauxgod	Ehhhh bison bedoel ik natuurlijk https://t.co/uONKHqFCEb	Ehhhh bison bedoel ik natuurlijk https://t.co/uONKHqFCEb
823008529393061888	kvrstxnn_bot	hou je tering bek	hou je tering bek
823008531033059328	DeOvernachting	Luister hier @DeOvernachting vanuit @DeBalie met minister #Ploumen terug: https://t.co/df6wE0Y4D6	Luister hier @DeOvernachting vanuit @DeBalie met minister #Ploumen terug : https://t.co/df6wE0Y4D6
823008542013722625	huis_tsjechie	Prima belegging, 5jr garantie op 5%. Luxe #villa te koop op mooi park in #Lipno, bij het meer https://t.co/ErBpYvQAV5 #Tsjechie	Prima belegging , 5 jr garantie op 5%. Luxe #villa te koop op mooi park in #Lipno , bij het meer https://t.co/ErBpYvQAV5 #Tsjechie
823008548741382144	drachten_nieuws	Winkelcentrum Zaailand leger dan ooit https://t.co/mEd7GK1LIk Winkelcentrum Zaailand is nog nooit zo leeg geweest. Winkelcentrum Zaailand …	Winkelcentrum Zaailand leger dan ooit https://t.co/mEd7GK1LIk Winkelcentrum Zaailand is nog nooit zo leeg geweest . Winkelcentrum Zaailand …
823008548762382336	martin_tyskie	.@gannemans Wie de holocaust bagateliseert en de nagedachtenis ter discussie stelt, is echt wel gek. En gevaarlijk. Zie Höcke.	. @gannemans Wie de holocaust bagateliseert en de nagedachtenis ter discussie stelt , is echt wel gek . En gevaarlijk . Zie Höcke .
823008548137345028	post_vacatures	#dts #delenmag Snel aan de slag? PostNL heeft werk voor jou! Check het actuele aanbod. https://t.co/IVHZexDi27 https://t.co/WnazP6uXgR	#dts #delenmag Snel aan de slag ? PostNL heeft werk voor jou ! Check het actuele aanbod . https://t.co/IVHZexDi27 https://t.co/WnazP6uXgR
823008549999624193	Wsdrunen	Het weer in Drunen op 22/01/17 om 04:20: Temperatuur: -6.1C Vochtigheid: 94 Dauwpunt: -6.9C Wind: 0.0 km/h vanuit het SE Regen: 0.0 mm	Het weer in Drunen op 22/01/17 om 04:20: Temperatuur : -6.1C Vochtigheid : 94 Dauwpunt : -6.9C Wind : 0.0 km /h vanuit het SE Regen : 0.0 mm
823008560862887936	VacatureBaan	Nieuwe #vacature #JouwBaan Senior Werkvoorbereider HVAC https://t.co/RdNEn0GL6l	Nieuwe #vacature #JouwBaan Senior Werkvoorbereider HVAC https://t.co/RdNEn0GL6l
823008573143719938	NathalieVPRO	De moeite waard, vervolg op Inconvenient truth, zeer bevlogen Gore wordt gevolgd bij zijn kruistocht voor awareness… https://t.co/usyhkXh3ZY	De moeite waard , vervolg op Inconvenient truth , zeer bevlogen Gore wordt gevolgd bij zijn kruistocht voor awareness … https://t.co/usyhkXh3ZY
823008576407044098	Roan_NL_	Ik vind een @YouTube-video van @yaraskygaming leuk: https://t.co/ayKLFv6Br3 UNLIMITED CARE PACKAGES! (COD: Black Ops 3)	Ik vind een @YouTube - video van @yaraskygaming leuk : https://t.co/ayKLFv6Br3 UNLIMITED CARE PACKAGES ! ( COD : Black Ops 3)
823008576583200768	Oriental__Beat	Die mevrouw heeft rare betrekkingsideeën ontwikkeld "Je bent als depressief iemand het duurst / te duur voor verzekeraar". #druktemakers	Die mevrouw heeft rare betrekkingsideeën ontwikkeld " Je bent als depressief iemand het duurst / te duur voor verzekeraar ". #druktemakers
823008590822830083	yonibosschaerts	RT @EdwarHoupline: Mijn 'haha' is fake Mijn 'hahaha' is gemeend En mijn 'HAHAHAHA' wil zeggen dak verre dood lag vant lachen	RT @EdwarHoupline : Mijn ' haha ' is fake Mijn ' hahaha ' is gemeend En mijn ' HAHAHAHA ' wil zeggen dak verre dood lag vant lachen
823008594052468736	Moroccan1988	RT @OscarKocken: Het schijnt dat Wilders bang is om zijn zwarte haar te laten zien.	RT @OscarKocken : Het schijnt dat Wilders bang is om zijn zwarte haar te laten zien .
823008599014277120	Lordofsin1	RT @NOS: Niemand had verwacht dat het zo groot zou worden: de Women's March tegen Trump: https://t.co/QzL07aAjUm	RT @NOS : Niemand had verwacht dat het zo groot zou worden : de Women's March tegen Trump : https://t.co/QzL07aAjUm
823008609697144833	hmous1985	RT @hmous1985: Elke Maandag op Spotify Dinsdag Herhali Radio Contlnu Playlist Non-Stop 2:00 tot 3:00 uur	RT @hmous1985 : Elke Maandag op Spotify Dinsdag Herhali Radio Contlnu Playlist Non-Stop 2:00 tot 3:00 uur
823008610808725504	Sjoerdhania	Nu de Staten Generaal volop begiftigd is met nieuw nazisme, fascisme en stasisme wordt het tijd voor de echte vrijheidsstrijders en #nld	Nu de Staten Generaal volop begiftigd is met nieuw nazisme , fascisme en stasisme wordt het tijd voor de echte vrijheidsstrijders en #nld
823008613212033025	CYBER_JD	@Otlyster slaapsokken of extra deken voor de voeten to the rescue ?	@Otlyster slaapsokken of extra deken voor de voeten to the rescue ?
823008624612089856	Xeloija	Waren weer mooie games samen met @DgelijkSGameS en daarna nog eens spannende lcs games er achteraan, wat een feest vandaag :D	Waren weer mooie games samen met @DgelijkSGameS en daarna nog eens spannende lcs games er achteraan , wat een feest vandaag :D
823008627816628225	Lenniee_	Mooie avond	Mooie avond
823008632069619713	bootyroll	#bord voor met goeie #deals https://t.co/kany613XuY	#bord voor met goeie #deals https://t.co/kany613XuY
823008634187763712	bootyroll	#bord voor met goeie #deals https://t.co/Bo2zLlLYzb	#bord voor met goeie #deals https://t.co/Bo2zLlLYzb
823008652189638656	radioericah	Nu op Radio Erica: Charlene - Griekse Nacht	Nu op Radio Erica : Charlene - Griekse Nacht
823008655444414464	fulleoturginn11	RT @TingayFoster: Valentijn oh Valentijn neemt gij mij naar ZuZ&ZooZ voor 6 zinnenprikkelende gerechtjes, geserveerd in 3 gangen, voor 26 e…	RT @TingayFoster : Valentijn oh Valentijn neemt gij mij naar ZuZ & ZooZ voor 6 zinnenprikkelende gerechtjes , geserveerd in 3 gangen , voor 26 e…
823008656191090693	R_Reimerswaal	RT @wa_kapelle: Best knap met 2 promille alcohol in donker #vlaketunnel #a58 omhoog te fietsen zonder aangereden te worden. Ter ontnuchter…	RT @wa_kapelle : Best knap met 2 promille alcohol in donker #vlaketunnel #a58 omhoog te fietsen zonder aangereden te worden . Ter ontnuchter …
823008678961971204	hmous1985	RT @hmous1985: Elke Maandag op Spotify Dinsdag Herhali Radio Contlnu Playlist Non-Stop 2:00 tot 3:00 uur	RT @hmous1985 : Elke Maandag op Spotify Dinsdag Herhali Radio Contlnu Playlist Non-Stop 2:00 tot 3:00 uur
823008695344885764	JamalGBX	Bestaat dit nog @sophieousri	Bestaat dit nog @sophieousri
823008701976035328	yonibosschaerts	RT @fleurvanp: Das een mooie broek ik zie het probleem niet???? https://t.co/6TRA7PFxUI	RT @fleurvanp : Das een mooie broek ik zie het probleem niet ???? https://t.co/6TRA7PFxUI
823008703012028416	DagVacatures	Medior DevOps Test Engineer bij TKP Pensioen - https://t.co/UE8M3mZgJ5	Medior DevOps Test Engineer bij TKP Pensioen - https://t.co/UE8M3mZgJ5
823008708804440065	DocendoOrbis	Het Roer Moet Om wil politiek tot keuzes dwingen in zorgdebat | NOS https://t.co/T6AkcvclLy	Het Roer Moet Om wil politiek tot keuzes dwingen in zorgdebat | NOS https://t.co/T6AkcvclLy
823008711664922626	ivanova_tydam28	Echt hei?e culo Amateur zeigt culo off https://t.co/dUEdvVCXXS	Echt hei ?e culo Amateur zeigt culo off https://t.co/dUEdvVCXXS
823008713514565637	Directsuccesvol	Platte Buik krijgen zonder sporten - https://t.co/7JtaLaU0u4 https://t.co/MhWAU2POcN	Platte Buik krijgen zonder sporten - https://t.co/7JtaLaU0u4 https://t.co/MhWAU2POcN
823008725807951872	Olleke_in_TH	KANS OP AMNESTIE VOOR ECHTPAAR VAN LAARHOVEN MINIEM - https://t.co/FGkKv3T4DJ https://t.co/9z1oyAK69c	KANS OP AMNESTIE VOOR ECHTPAAR VAN LAARHOVEN MINIEM - https://t.co/FGkKv3T4DJ https://t.co/9z1oyAK69c
823008738953089025	DoenDurf	Waarheid: Heb je bij een vriend of vriendin wel eens een vuile streek uitgehaald? En zo ja, wat? #DoenDurfWaarheid	Waarheid : Heb je bij een vriend of vriendin wel eens een vuile streek uitgehaald ? En zo ja , wat ? #DoenDurfWaarheid
823008757789708288	p2k2sms	Incident met letsel in de regio Amsterdam-Amstelland (Amsterdam). Met https://t.co/1KmXqNCEmw had u het al geweten! #p2000 #sms	Incident met letsel in de regio Amsterdam-Amstelland ( Amsterdam ). Met https://t.co/1KmXqNCEmw had u het al geweten ! #p2000 #sms
823008763950940162	AshKetchumNED	Ik heb een Pokémon gevangen!	Ik heb een Pokémon gevangen !
823008768732569600	WaddenStats	Statistieken #ameland za 21 jan | 2362 bezoekers | 34.273 pag`s | 28 boekingsaanvr.(119%) | Vakantiehuisjes https://t.co/I1SaJLXnSt	Statistieken #ameland za 21 jan | 2362 bezoekers | 34.273 pag `s | 28 boekingsaanvr .(119%) | Vakantiehuisjes https://t.co/I1SaJLXnSt
823008769760251906	Ameland_NL	Statistieken #ameland za 21 jan | 2362 bezoekers | 34.273 pag`s | 28 boekingsaanvr.(119%) | Vakantiehuisjes https://t.co/f76YuVBVHn	Statistieken #ameland za 21 jan | 2362 bezoekers | 34.273 pag `s | 28 boekingsaanvr .(119%) | Vakantiehuisjes https://t.co/f76YuVBVHn
823008777557245954	Misty_NL	Ik blijf trainen bij deze Gym. Wanneer ik beter ben, wil ik graag weer verder reizen!	Ik blijf trainen bij deze Gym . Wanneer ik beter ben , wil ik graag weer verder reizen !
823008782406086656	pestbriefje	#pesten: Pesten op video - Gewelddadig pesten in Roeselare op video Op Facebook is... https://t.co/qq7YOVZSqL	#pesten : Pesten op video - Gewelddadig pesten in Roeselare op video Op Facebook is ... https://t.co/qq7YOVZSqL
823008787539836928	gsmadvies	Beveiligingscamera Samsung kwetsbaar voor hackers - WINMAG Pro https://t.co/nZkOtqdtZ0 #samsung	Beveiligingscamera Samsung kwetsbaar voor hackers - WINMAG Pro https://t.co/nZkOtqdtZ0 #samsung
823008798499606528	BXRadio_	Nieuw op https://t.co/HGCViKvmw7 : Madonna zingt protestlied tegen Trump https://t.co/nUsTLzrQZy	Nieuw op https://t.co/HGCViKvmw7 : Madonna zingt protestlied tegen Trump https://t.co/nUsTLzrQZy
823008800022155264	sterre1997	Na een hele lange tijd weer lekker uitgeweest.. Net een te heftige aanval gehad maar hé, het was het waard ❤️❤️ #stilllovemylife #CH	Na een hele lange tijd weer lekker uitgeweest .. Net een te heftige aanval gehad maar hé , het was het waard ❤️❤️ #stilllovemylife #CH
823008805453701121	HwihhNL	Het is -1.77°C in Sneek, hoe warm is het bij jou? https://t.co/yGIiAQLCQi #HWIHH	Het is -1.77°C in Sneek , hoe warm is het bij jou ? https://t.co/yGIiAQLCQi #HWIHH
823008806535774211	Flwrgirl66x	RT @Harry_Dillema: Trump valt farmaceutische industrie aan. En hij heeft de verkiezingen al gewonnen. https://t.co/VCWpbyzVGX https://t.co/…	RT @Harry_Dillema : Trump valt farmaceutische industrie aan . En hij heeft de verkiezingen al gewonnen . https://t.co/VCWpbyzVGX https://t.co/ …
823008808427548678	iggiestyle	@tx_35 wat een gekkigheid eraf Rossen die keien	@tx_35 wat een gekkigheid eraf Rossen die keien
823008811002773504	werkvacatures	Tijd voor iets nieuws? #vacature #JouwBaan Cost Engineer Sprinkler https://t.co/e49XE3i2oL	Tijd voor iets nieuws ? #vacature #JouwBaan Cost Engineer Sprinkler https://t.co/e49XE3i2oL
823008811338399744	VacatureBaan	Nieuwe #vacature #JouwBaan Servicemonteur Koudetechniek https://t.co/GJ5yKxXHlV	Nieuwe #vacature #JouwBaan Servicemonteur Koudetechniek https://t.co/GJ5yKxXHlV
823008817554268160	lterveld	Wat is dit onaantrekkelijk zeg, brrr https://t.co/0IIKh0qd2l	Wat is dit onaantrekkelijk zeg , brrr https://t.co/0IIKh0qd2l
823008817826975744	MuslimInEurope	@geertwilderspvv: "Vrouwen zijn bang om hun blonde haren te tonen". Hoe verklaar je al die gemengde relaties ?… https://t.co/hYlKqEtjyG	@geertwilderspvv : " Vrouwen zijn bang om hun blonde haren te tonen ". Hoe verklaar je al die gemengde relaties ?… https://t.co/hYlKqEtjyG
823008821882814464	Tilburg_Nieuws	#Haarlem-#Amsterdam Centraal https://t.co/sRzaYi3R7l Wanneer zaterdag 21 en zondag 22 januari Oorzaak werkzaamheden Advies U kunt gebruikm…	#Haarlem - #Amsterdam Centraal https://t.co/sRzaYi3R7l Wanneer zaterdag 21 en zondag 22 januari Oorzaak werkzaamheden Advies U kunt gebruikm …
823008824009310208	Tilburg_Nieuws	#Haarlem-Leiden Centraal https://t.co/0e6mLk3gmI Wanneer zaterdag 21 en zondag 22 januari Oorzaak werkzaamheden Advies U kunt gebruikmaken…	#Haarlem - Leiden Centraal https://t.co/0e6mLk3gmI Wanneer zaterdag 21 en zondag 22 januari Oorzaak werkzaamheden Advies U kunt gebruikmaken …
823008825565396992	CYBER_JD	@Otlyster wel tijd om te eten dan =p	@Otlyster wel tijd om te eten dan =p
823008855781244933	HanineAlnassar	RT @tomjanmeeus: Je hebt mensen die zeggen: als partij met 20% steun in peilingen niet de baas wordt komt er burgeroorlog.Die 80% doet er n…	RT @tomjanmeeus : Je hebt mensen die zeggen : als partij met 20% steun in peilingen niet de baas wordt komt er burgeroorlog . Die 80% doet er n…
823008863846809602	AktepeBartu	RT @YentlKets: Ik wil zo graag weten hoe mijn toekomst er gaat uitzien...	RT @YentlKets : Ik wil zo graag weten hoe mijn toekomst er gaat uitzien ...
823008867621675008	Huab_Hu	Auto met gezin tegen winkelpui Breda https://t.co/jXZU9Ar4tI	Auto met gezin tegen winkelpui Breda https://t.co/jXZU9Ar4tI
823008869408444416	LennyHeynemans	Raf Sidorski verkozen tot nieuwe prins carnaval in Aalst https://t.co/Qcj9Se4WnV	Raf Sidorski verkozen tot nieuwe prins carnaval in Aalst https://t.co/Qcj9Se4WnV
823008877327294464	NLNieuwsAlert	volkskrant: Ex-directeur CIA: Trump moet zich schamen https://t.co/GjXXjgSqM9 #NLNieuwsAlert	volkskrant : Ex-directeur CIA : Trump moet zich schamen https://t.co/GjXXjgSqM9 #NLNieuwsAlert
823008890350665728	DanGiieTaz	RT @Haes94: Begonnen bij de bodem en nu klimmen we naar boven	RT @Haes94 : Begonnen bij de bodem en nu klimmen we naar boven
823008903285919746	CVdeKeescheknup	Vandaag tijdens een geweldige carnavalsavond onze nieuwe prins uitgeroepen Jhon1 (jhon v herk ) heerser uver ut kiescheriek alaaf	Vandaag tijdens een geweldige carnavalsavond onze nieuwe prins uitgeroepen Jhon 1 ( jhon v herk ) heerser uver ut kiescheriek alaaf
823008907840880641	iggiestyle	RT @tx_35: Mogge! Welke idioot heeft dit nu weer bedacht? https://t.co/iVRlA5yUpE	RT @tx_35 : Mogge ! Welke idioot heeft dit nu weer bedacht ? https://t.co/iVRlA5yUpE
823008918783856640	geldzat	Wakker worden!! Dit boek geeft #perspectieven #alternatieven de #bank niet nodig #mkb https://t.co/74lNwUSQyf	Wakker worden !! Dit boek geeft #perspectieven #alternatieven de #bank niet nodig #mkb https://t.co/74lNwUSQyf
823008929252683776	aren_oren	Fck off bij	Fck off bij
823008930519453697	sarraaachaoui	@zakariaaaB begrepen? Dus da betekenden geen beef me mij maken	@zakariaaaB begrepen ? Dus da betekenden geen beef me mij maken
823008934961315840	Eldorado_Radio	radio eldorado - nonstop uit studio haelen draait nu : trini lopez - my paraguayos #hits #muziek	radio eldorado - nonstop uit studio haelen draait nu : trini lopez - my paraguayos #hits #muziek
823008959133024257	Huab_Hu	Meer mensen in Washington bij protest tegen Trump dan bij inauguratie https://t.co/xzXv9FAT19	Meer mensen in Washington bij protest tegen Trump dan bij inauguratie https://t.co/xzXv9FAT19
823008992049975297	sarraaachaoui	RT @KaramYousfi: Zelfs als ik je nodig heb, zeg ik het niet	RT @KaramYousfi : Zelfs als ik je nodig heb , zeg ik het niet
823009006188953600	GibsonErika	R1 m. per dag – en onwettig! https://t.co/5eSXwwybSN via @Netwerk24	R1 m. per dag – en onwettig ! https://t.co/5eSXwwybSN via @Netwerk24
823009006868369408	RebeccaFaussett	RT @Aanklacht: Zo'n foto komt nooit in de MSM. Veel te vrolijk, blij, optimistisch en menselijk. https://t.co/63cyGbIZPx	RT @Aanklacht : Zo'n foto komt nooit in de MSM . Veel te vrolijk , blij , optimistisch en menselijk . https://t.co/63cyGbIZPx
823009008835510272	ErneyANG	RT @Haes94: Begonnen bij de bodem en nu klimmen we naar boven	RT @Haes94 : Begonnen bij de bodem en nu klimmen we naar boven
823009019304361984	omgmimiii	WEL TAM JEN NIE NU NAAAA https://t.co/85JFcS5aOa	WEL TAM JEN NIE NU NAAAA https://t.co/85JFcS5aOa
823009029295325184	CYBER_JD	@Cindermany 0_o you okay ? Niet veel geslapen ofzo ?	@Cindermany 0_o you okay ? Niet veel geslapen ofzo ?
823009046634622976	brug_open	De #Spijkenisserbrug gaat rond 05:11 open. #voorspelling #brug #open https://t.co/kn294dLGlo	De #Spijkenisserbrug gaat rond 05:11 open . #voorspelling #brug #open https://t.co/kn294dLGlo
823009060026843136	nieuwsuitbelgie	Raf Sidorski verkozen tot nieuwe prins carnaval in Aalst https://t.co/Q3dXqyz7Ss #nieuws #belgie	Raf Sidorski verkozen tot nieuwe prins carnaval in Aalst https://t.co/Q3dXqyz7Ss #nieuws #belgie
823009054117203968	RegioDate	Brenda 58 j. zoek iemand een vaste partner https://t.co/GqERDivC7u	Brenda 58 j. zoek iemand een vaste partner https://t.co/GqERDivC7u
823009062602362880	dagelijkstrue	(o_o) Kan je tegen kietelen? (-__-) Beetje, hoezo? (~�_�)~ (/�o�)/ NEEEEEEEEEEEEE.	(o_o) Kan je tegen kietelen ? (-__-) Beetje , hoezo ? (~�_�)~ (/�o�)/ NEEEEEEEEEEEEE .
823009064879726594	brkbe	[hln.be] Raf Sidorski verkozen tot nieuwe prins carnaval in Aalst https://t.co/ga4pLLVnvZ [nieuws belgië]	[ hln . be ] Raf Sidorski verkozen tot nieuwe prins carnaval in Aalst https://t.co/ga4pLLVnvZ [ nieuws belgië ]
823009066586959872	bottiethebot	Over zoekmachine vriendelijk schrijven. Als ik dood ben lig ik er niet wakker van. #BottieSays	Over zoekmachine vriendelijk schrijven . Als ik dood ben lig ik er niet wakker van . #BottieSays
823009071758536708	HBOWO_vacatures	Nieuwe #vacature #JouwBaan Java / GO Developer https://t.co/TJbdJLExyY	Nieuwe #vacature #JouwBaan Java / GO Developer https://t.co/TJbdJLExyY
823009088707723264	carmenthijs	Ex-directeur CIA: Trump moet zich schamen https://t.co/HnSReldqji	Ex-directeur CIA : Trump moet zich schamen https://t.co/HnSReldqji
823009090695733248	severinedesmedt	@HofkensKevin het kan ni anders dan tof zen geweest allejaa een feest van zo een toffe griet??	@HofkensKevin het kan ni anders dan tof zen geweest allejaa een feest van zo een toffe griet ??
823009095380832257	nieuwsdagen	Ex-directeur CIA: Trump moet zich schamen https://t.co/UmyAlnq4fO	Ex-directeur CIA : Trump moet zich schamen https://t.co/UmyAlnq4fO
823009095842230272	shariyona	RT @Haes94: Begonnen bij de bodem en nu klimmen we naar boven	RT @Haes94 : Begonnen bij de bodem en nu klimmen we naar boven
823009107149885444	community4biz	#Crowdfund #Starters #Kit Financier je Droom Zonder #Bank of #Subsidie voor #MKB & #ZZP https://t.co/zeJjAFxnHn https://t.co/joOSUqXV1o	#Crowdfund #Starters #Kit Financier je Droom Zonder #Bank of #Subsidie voor #MKB & #ZZP https://t.co/zeJjAFxnHn https://t.co/joOSUqXV1o
823009127475638274	Domy1967	Ik vind een @YouTube-video leuk: https://t.co/87mQWoZCaB STRYCHNINE "RAGNAGNA" FRENCH PUNK KBD 1981 !!	Ik vind een @YouTube - video leuk : https://t.co/87mQWoZCaB STRYCHNINE " RAGNAGNA " FRENCH PUNK KBD 1981 !!
823009127819579394	HenkBaarn	Totale filelengte op snelwegen in Vlaanderen: 0 km; Trend: stabiel https://t.co/r4je9cXMzW	Totale filelengte op snelwegen in Vlaanderen : 0 km ; Trend : stabiel https://t.co/r4je9cXMzW
823009129191063552	hetediana11	Geil neuken met mij? https://t.co/rEQFttwrqy ... https://t.co/3gCLnztfxL	Geil neuken met mij ? https://t.co/rEQFttwrqy ... https://t.co/3gCLnztfxL
823009140163440640	RebeccaFaussett	RT @klaasvaak1533: @telegraaf Stem op de juiste om het oude Europa te herstellen... stem PVV...!!! Stem op andere om uw leven naar de…	RT @klaasvaak1533 : @telegraaf Stem op de juiste om het oude Europa te herstellen ... stem PVV ...!!! Stem op andere om uw leven naar de …
823009140712898560	hopje_haags	De @MinPres mist een hele belangrijke eigenschap en dat is, LUISTEREN NAAR WAT HET VOLK TE ZEGGEN HEEFT.… https://t.co/Rrrh7IgJSG	De @MinPres mist een hele belangrijke eigenschap en dat is , LUISTEREN NAAR WAT HET VOLK TE ZEGGEN HEEFT .… https://t.co/Rrrh7IgJSG
