824044110554267648	PR0MISEEE_	Die chickie zit gewoon bij Jandino in die shoe lol #LRT	Die chickie zit gewoon bij Jandino in die shoe lol #LRT
824050998708752385	Bxykaa	@ImChickenNoodle Goed bezig Max, ik ben trots op je maat🤗 https://t.co/Wv9fbbCiIB	@ImChickenNoodle Goed bezig Max , ik ben trots op je maat 🤗 https://t.co/Wv9fbbCiIB
824051001858658306	Lord_Kevin_W	Ik vind een @YouTube-video leuk: https://t.co/f075rQWgtU Slipknot - (sic) lyrics	Ik vind een @YouTube - video leuk : https://t.co/f075rQWgtU Slipknot - ( sic ) lyrics
824051001732792321	mhjvandenberg	Onze @MinPres in @nytimes, de krant die #zwartepiet ook al niet normaal vond 'Dutch Leader Takes Trump-Like Turn...… https://t.co/SnALM2grCa	Onze @MinPres in @nytimes , de krant die #zwartepiet ook al niet normaal vond ' Dutch Leader Takes Trump-Like Turn ...… https://t.co/SnALM2grCa
824051007126695938	wimdostjr	@zegmaarLyd je bent vroeg vandaag...slaap lekker...😂😂😘 #moethetnogzien	@zegmaarLyd je bent vroeg vandaag ... slaap lekker ...😂😂😘 #moethetnogzien
824051007864893440	Gremmen	@sypwynia Begrijp ik. Maar totale huursector (=sociaal+vrij) vs koopsector vind ik een eerlijker vergelijking. Vrije sector is ongeveer 12%.	@sypwynia Begrijp ik . Maar totale huursector (= sociaal + vrij ) vs koopsector vind ik een eerlijker vergelijking . Vrije sector is ongeveer 12%.
824051008804450306	Wtr_P	@JB_Hilterman @marcvpelt @Nieuwsuur de toekomst ook kan genieten van de natuur? Natuur is uit eindelijk belangrijker dan banen.	@JB_Hilterman @marcvpelt @Nieuwsuur de toekomst ook kan genieten van de natuur ? Natuur is uit eindelijk belangrijker dan banen .
824051011807547392	czuchrys	@summrobrts IK FUCKIGNKSDHKDHD	@summrobrts IK FUCKIGNKSDHKDHD
824051012562550784	NicoledeVos64	RT @Burgernet_LB: KERKRADE: Afloopbericht BN Kerkrade: de vermiste man is nog niet terecht. Politie gaat verder met zoeken. https://t.co/AI…	RT @Burgernet_LB : KERKRADE : Afloopbericht BN Kerkrade : de vermiste man is nog niet terecht . Politie gaat verder met zoeken . https://t.co/AI …
824051012797341696	heythatsmycandy	RT @rainaa98: Idc hoe knap je bent als uw karakter fucked up is dan ben je lelijk voor mij	RT @rainaa98 : Idc hoe knap je bent als uw karakter fucked up is dan ben je lelijk voor mij
824051012583510017	newzr_nl	Fillon drukt rumoer rond salaris echtgenote snel de kop in https://t.co/G7vY8d94nd	Fillon drukt rumoer rond salaris echtgenote snel de kop in https://t.co/G7vY8d94nd
824051020519063552	Bo_oChrisy	RT @sarahlimanya: Abortion is murder zegt de gast die zou weglopen als hij vader wordt	RT @sarahlimanya : Abortion is murder zegt de gast die zou weglopen als hij vader wordt
824051034590998529	SATTELWEB	t/m volgende weekend in de nachten eerst matige/lichte vorst -7c / --1/-0 c Max eerst 0/3 geleidelijk tijdelijk +7c /+10c #buienradar	t/m volgende weekend in de nachten eerst matige / lichte vorst -7c / --1/-0 c Max eerst 0/3 geleidelijk tijdelijk +7c /+10c #buienradar
824051036662992896	newzr_nl	Kan May haar vlotte Brexit nog redden? https://t.co/7zhbLJxbkz	Kan May haar vlotte Brexit nog redden ? https://t.co/7zhbLJxbkz
824051039469006849	moonlightlady73	RT @RutgervdNoort: Trump en Rutte, allebei 5 letters, maar man man, wat een verschil in daadkracht! https://t.co/dDEP8uuVvO	RT @RutgervdNoort : Trump en Rutte , allebei 5 letters , maar man man , wat een verschil in daadkracht ! https://t.co/dDEP8uuVvO
824051042048425984	MarieHBass	@IamVerbist kijk deze bijvoorbeeld 😭 https://t.co/PJEMBHh1E0	@IamVerbist kijk deze bijvoorbeeld 😭 https://t.co/PJEMBHh1E0
824051047769538561	Veldhorst__W	Dat wat de grote middenpartijen vergaten en dus werden CDA en PvdA opgevroten door de @VVD.... https://t.co/uS5h45128k	Dat wat de grote middenpartijen vergaten en dus werden CDA en PvdA opgevroten door de @VVD .... https://t.co/uS5h45128k
824051051166765056	PolWebsite	Tweede Kamer krijgt spoeddebat over 'onuitvoerbare ... - DvhN - Dagblad van het Noorden https://t.co/gapoGx003L #politiek	Tweede Kamer krijgt spoeddebat over ' onuitvoerbare ... - DvhN - Dagblad van het Noorden https://t.co/gapoGx003L #politiek
824051052798480385	richey_trang	RT @alfiedevries: Gratis een CV maken en direct downloaden in WORD en PDF! https://t.co/THySu3WnMC via @CVwizardNL	RT @alfiedevries : Gratis een CV maken en direct downloaden in WORD en PDF ! https://t.co/THySu3WnMC via @CVwizardNL
824051054589386753	dierickliesl	RT @IzaVercruysse: Tdoe zjir voda te lezen want ik mis onze vriendschap echt	RT @IzaVercruysse : Tdoe zjir voda te lezen want ik mis onze vriendschap echt
824051056082460673	OpenbaarBestuur	#Politiek #PVDD Marianne Thieme steunt het verzet van de bezorgde inwoners van het Limburgse Grubbenvorst… https://t.co/OgTRaJzbsY	#Politiek #PVDD Marianne Thieme steunt het verzet van de bezorgde inwoners van het Limburgse Grubbenvorst … https://t.co/OgTRaJzbsY
824051060293730304	BastiaandeKok	Zo, lekker klaar met werken en sporten. Is het hier nog een beetje gezellig?	Zo , lekker klaar met werken en sporten . Is het hier nog een beetje gezellig ?
824051058246680576	huisarts	Digitale aangifte mogelijk in Röpcke-Zweers Ziekenhuis: Het is voor kersverse ouders vanaf 1 maart mogelijk om de…… https://t.co/qyWE7FUbV3	Digitale aangifte mogelijk in Röpcke-Zweers Ziekenhuis : Het is voor kersverse ouders vanaf 1 maart mogelijk om de …… https://t.co/qyWE7FUbV3
824051060482469894	Mariamatun	Als je wil viben op Traditionele Tetouaniën muziek:: les Femmes de Tétouan (bonus je mist possibly hbibek die je nooit gehad hebt) >>>>>>>	Als je wil viben op Traditionele Tetouaniën muziek :: les Femmes de Tétouan ( bonus je mist possibly hbibek die je nooit gehad hebt ) >>>>>>>
824051063238119424	nikolaevowm1985	RT @AndreasMoerkerk: Bel 0648476750 Dak Reparatie Inspectie nu voor maar 35 euro (normaal 150 euro) ga naar de website http://t.co/g21FkMBE…	RT @AndreasMoerkerk : Bel 0648476750 Dak Reparatie Inspectie nu voor maar 35 euro ( normaal 150 euro ) ga naar de website http://t.co/g21FkMBE …
824051069051400194	Melvinvos020	RT @POL_Hoofdwegen: Wil jij een dienst mee in de Volvo? Like en RT om mee te doen. Bij 5000 volgers loten wij een winnaar! Voorwaarden:…	RT @POL_Hoofdwegen : Wil jij een dienst mee in de Volvo ? Like en RT om mee te doen . Bij 5000 volgers loten wij een winnaar ! Voorwaarden :…
824051069764440065	HCompier	@dezalnietemin Geheel met u eens. #wezijnzehelemaalzat	@dezalnietemin Geheel met u eens . #wezijnzehelemaalzat
824051069525245952	ADnl	Italiaanse held (9) sleepte vriendjes door pikzwarte dagen en nachten in door lawine bedolven hotel… https://t.co/aaFyyxDq1b	Italiaanse held (9) sleepte vriendjes door pikzwarte dagen en nachten in door lawine bedolven hotel … https://t.co/aaFyyxDq1b
824051073958690817	paytontaylor_5	Ik lol https://t.co/ilDNYVEyPc	Ik lol https://t.co/ilDNYVEyPc
824051073853825024	TrendolizerVL	"De meeste vliegrampen zijn overleefbaar": experts onthullen hoe je een vliegtuigcrash... https://t.co/ntjtQmZVy3 https://t.co/p0ebzAX42l	" De meeste vliegrampen zijn overleefbaar ": experts onthullen hoe je een vliegtuigcrash ... https://t.co/ntjtQmZVy3 https://t.co/p0ebzAX42l
824051075225448451	sjaak19790	@singleMamaChris hier nog 1	@singleMamaChris hier nog 1
824051076865421312	Tommeeh	@slagtoffert Die van mijn vriendin zijn wel leuk	@slagtoffert Die van mijn vriendin zijn wel leuk
824051082431266818	MartijnFSnl	Mwoah.. sowiezo leuk om eens kennis te maken. https://t.co/YiRlyA1JSA	Mwoah .. sowiezo leuk om eens kennis te maken . https://t.co/YiRlyA1JSA
824051087980318721	puuhrmrsbergen	Het besluit van de gemeenteraad over de ondertunneling Maarsbergen a.s. donderdag gaat als (zwaarwegend) advies naar Provinciale Staten.	Het besluit van de gemeenteraad over de ondertunneling Maarsbergen a.s. donderdag gaat als ( zwaarwegend ) advies naar Provinciale Staten .
824051094422769664	kim_donz	@cmfuentez ja weet ik toch, op jou kan ik altijd rekenen	@cmfuentez ja weet ik toch , op jou kan ik altijd rekenen
824051095303376896	Gemeente	#Politiek #PVDD Marianne Thieme steunt het verzet van de bezorgde inwoners van het Limburgse Grubbenvorst… https://t.co/8iJObALa7e	#Politiek #PVDD Marianne Thieme steunt het verzet van de bezorgde inwoners van het Limburgse Grubbenvorst … https://t.co/8iJObALa7e
824051097958432768	politiek	#Politiek #PVDD Marianne Thieme steunt het verzet van de bezorgde inwoners van het Limburgse Grubbenvorst… https://t.co/PBb0VeWj0b	#Politiek #PVDD Marianne Thieme steunt het verzet van de bezorgde inwoners van het Limburgse Grubbenvorst … https://t.co/PBb0VeWj0b
824051099279753216	TrendolizerVL	Paris Jackson: "Mijn vader werd vermoord, ikzelf ben als kind aangerand geweest" https://t.co/QY5zVFcmlw https://t.co/5VMIcwYWCg	Paris Jackson : " Mijn vader werd vermoord , ikzelf ben als kind aangerand geweest " https://t.co/QY5zVFcmlw https://t.co/5VMIcwYWCg
824051099157962752	PolitiekeTweet	#Politiek #PVDD Marianne Thieme steunt het verzet van de bezorgde inwoners van het Limburgse Grubbenvorst… https://t.co/3nDW1HVogx	#Politiek #PVDD Marianne Thieme steunt het verzet van de bezorgde inwoners van het Limburgse Grubbenvorst … https://t.co/3nDW1HVogx
824051099934097413	MichielBlijboom	RT @arjenlubach: 🙌🏻 (Met dank aan @texdewit voor het opnemen van de tv. Lekker camerawerk.) https://t.co/aWHrTgxDS3	RT @arjenlubach : 🙌🏻 ( Met dank aan @texdewit voor het opnemen van de tv . Lekker camerawerk .) https://t.co/aWHrTgxDS3
824051100185722881	Jolienpon	RT @Readingmaid: Niet normaal dit. Zo onNederlands! https://t.co/ASoabZOwsl	RT @Readingmaid : Niet normaal dit . Zo onNederlands ! https://t.co/ASoabZOwsl
824051104816267266	newzr_nl	Trump wil versnelde aanleg omstreden oliepijpleidingen Keystone XL en Dakota https://t.co/dJDe996UQC	Trump wil versnelde aanleg omstreden oliepijpleidingen Keystone XL en Dakota https://t.co/dJDe996UQC
824051110642118656	__pedro_j	geen dingen doen waar je morgen spijt van krijgt	geen dingen doen waar je morgen spijt van krijgt
824051111728398336	ddeaconblues	RT @SamvanRooy1: Huub is kandidaat kamerlid GroenLinks. Huub ziet overal racisten. Huub wil Paul Cliteur en Wim van Rooy 'aanpakken'. https…	RT @SamvanRooy1 : Huub is kandidaat kamerlid GroenLinks . Huub ziet overal racisten . Huub wil Paul Cliteur en Wim van Rooy ' aanpakken '. https …
824051117420118016	ItzRobotUHC	@ZelixYT Xd ik lol	@ZelixYT Xd ik lol
824051117562724353	maximvanloo	Zin in het concert van Bonobo zeg	Zin in het concert van Bonobo zeg
824051119252967424	AlfredKok1	RT @thierrybaudet: Ik hoor dat bij onze "inburgeringscursus" geleerd wordt dat Rusland niet bij Europa hoort. Bizar.	RT @thierrybaudet : Ik hoor dat bij onze " inburgeringscursus " geleerd wordt dat Rusland niet bij Europa hoort . Bizar .
824051124604899328	PSPfreaky	RT @PlanetCoasterNL: Hoera! Planet Coaster Club is 1 jaar! Een jaar vol plezier! Wij hebben genoten. Jullie ook? Op naar een nieuw jaar…	RT @PlanetCoasterNL : Hoera ! Planet Coaster Club is 1 jaar ! Een jaar vol plezier ! Wij hebben genoten . Jullie ook ? Op naar een nieuw jaar …
824051126567833600	EWdeVlieger	Dingetje! @tofikdibi zet zich af tegen @groenlinks https://t.co/w0v28ft02m	Dingetje ! @tofikdibi zet zich af tegen @groenlinks https://t.co/w0v28ft02m
824051130028199936	11LionsMP	Video : Boussoufa : “We hebben gestreden” | 11'Lions Marokko Profs https://t.co/8raWZuZ9Vi	Video : Boussoufa : “ We hebben gestreden ” | 11' Lions Marokko Profs https://t.co/8raWZuZ9Vi
824051136114126848	newzr_nl	Israël kondigt bouw aan van 2.500 nieuwe huizen op Westbank https://t.co/zKYaTn2LPa	Israël kondigt bouw aan van 2.500 nieuwe huizen op Westbank https://t.co/zKYaTn2LPa
824051138613940224	Kushrenada_NL	RT @thierrybaudet: Ik hoor dat bij onze "inburgeringscursus" geleerd wordt dat Rusland niet bij Europa hoort. Bizar.	RT @thierrybaudet : Ik hoor dat bij onze " inburgeringscursus " geleerd wordt dat Rusland niet bij Europa hoort . Bizar .
824051144901148672	weergieten	Weerstation Gieten Temp:0.4C min/max:0.4C/0.4C Gev.temp:-0.6C Wind:3.9 km/h ZZW max:19.3 km/h Regen: 0.0 mm #weer #gieten #drenthe	Weerstation Gieten Temp :0.4C min / max :0.4C/0.4C Gev . temp :-0.6C Wind :3.9 km /h ZZW max :19.3 km /h Regen : 0.0 mm #weer #gieten #drenthe
824051154573213696	H0LA_BITCHATO	@tomabrok @ikbensaske @itscreepy_ maar echt	@tomabrok @ikbensaske @itscreepy_ maar echt
824051155676213248	nuriacoe	RT @chris_krast: 2017, jaar van de Catalaanse onafhankelijkheid? @assemblea_int @AncBru @ANC_NL #CatalanRef2017 https://t.co/Gedposo5Ol	RT @chris_krast : 2017, jaar van de Catalaanse onafhankelijkheid ? @assemblea_int @AncBru @ANC_NL #CatalanRef2017 https://t.co/Gedposo5Ol
824051160122277890	bordjehier	RT @CBeekers: Prachtige nieuwe #volvo voor het MMT #Lifeliner3 #radboudumc https://t.co/IbazJ7KyuP	RT @CBeekers : Prachtige nieuwe #volvo voor het MMT #Lifeliner3 #radboudumc https://t.co/IbazJ7KyuP
824051161670053888	RJKonrad	Daar denken we ZEKER aan @AdrianaStuijt! De Kale Verlosser die "islam" altijd de schuld gaf en met zijn ideeën… https://t.co/5E8hsQM802	Daar denken we ZEKER aan @AdrianaStuijt ! De Kale Verlosser die " islam " altijd de schuld gaf en met zijn ideeën … https://t.co/5E8hsQM802
824051162550779904	loveinground	Wie nimmer dwaalt, wordt nooit verstandig #loveinground	Wie nimmer dwaalt , wordt nooit verstandig #loveinground
824051163033206786	KoenElHerrero	Dat slaapritme is duidelijk weer helemaal de mist ingegaan de laatste weken.	Dat slaapritme is duidelijk weer helemaal de mist ingegaan de laatste weken .
824051164610236417	newzr_nl	Rebellen Syrië boos over Iraanse rol bij naleven wapenstilstand https://t.co/gnxwzrXSHf	Rebellen Syrië boos over Iraanse rol bij naleven wapenstilstand https://t.co/gnxwzrXSHf
824051163389657089	jobbirdjobs	#dts #werk #rotterdam Taxichauffeur met schouder-er-onder-mentaliteit. Geen 9-17 mentaliteit https://t.co/SruVE74aBv	#dts #werk #rotterdam Taxichauffeur met schouder-er-onder-mentaliteit . Geen 9-17 mentaliteit https://t.co/SruVE74aBv
824051167638487040	BeeckieLuka	RT @fieenjacobs: zo weer zin om een goei potje te huilen	RT @fieenjacobs : zo weer zin om een goei potje te huilen
824051168988905472	brimmmm	Ik doe mee met de #10jaariCulture #winactie voor €50 iTunes-tegoed https://t.co/9WtOHCB40Q /via @iCulture	Ik doe mee met de #10jaariCulture #winactie voor €50 iTunes-tegoed https://t.co/9WtOHCB40Q / via @iCulture
824051170612224000	jujuxnrq	İk haat dat als sommige meisjes zich echt gaan aanstellen en aandacht gaan zoeken als er een groep jongens is. Zovn waarom? Aandacht tekort?	İk haat dat als sommige meisjes zich echt gaan aanstellen en aandacht gaan zoeken als er een groep jongens is . Zovn waarom ? Aandacht tekort ?
824051176278790144	xpownage_	Ik vind een @YouTube-video van @cromotag leuk: https://t.co/24ZtS5qz2u GTA V Online Stream #2 - DAAR GAAN WE WEER!	Ik vind een @YouTube - video van @cromotag leuk : https://t.co/24ZtS5qz2u GTA V Online Stream #2 - DAAR GAAN WE WEER !
824051179365761025	jadegbbs	RT @smet_kato: Eeeeeeeh ma kwil echt op reis	RT @smet_kato : Eeeeeeeh ma kwil echt op reis
824051178388549633	brickwatch	Een lagere prijs gevonden voor Lego Ford Mustang GT (75871). Nu €10.51 (-€2.99, RRP -42%) https://t.co/ezErPD5xPy https://t.co/cckl3jl3VI	Een lagere prijs gevonden voor Lego Ford Mustang GT (75871). Nu €10.51 (-€2.99, RRP -42%) https://t.co/ezErPD5xPy https://t.co/cckl3jl3VI
824051180665847808	bootycIub	@lauranotclaire dit is echt een chill liedje	@lauranotclaire dit is echt een chill liedje
824051183480401922	gvreemst	Slapen.	Slapen .
824051183732015104	savinlap1990	RT @KoekieGamesNL: Bekijk mijn uitzending vanaf mijn PlayStation 4! #PS4live (Call of Duty®: Infinite Warfare) live at https://t.co/87VNSK…	RT @KoekieGamesNL : Bekijk mijn uitzending vanaf mijn PlayStation 4! #PS4live ( Call of Duty ®: Infinite Warfare ) live at https://t.co/87VNSK …
824051183371358208	katjavanessen	RT @UitTherapie: Omdat hij zo goed blijft: #stigma https://t.co/ifz7piinEX	RT @UitTherapie : Omdat hij zo goed blijft : #stigma https://t.co/ifz7piinEX
824051184482787329	jadegbbs	RT @MoonsJeff: Kan mijn school gewoon ontploffen aub	RT @MoonsJeff : Kan mijn school gewoon ontploffen aub
824051184638029824	K_olyslaegers	RT @noah_mavu: ik zie kinderen van 12 in Antwerpen chillen, moest ik op mijn 12 hebben gevraagd om in Antwerpen rond te lopen.....…	RT @noah_mavu : ik zie kinderen van 12 in Antwerpen chillen , moest ik op mijn 12 hebben gevraagd om in Antwerpen rond te lopen .....…
824051190161952768	DutchNewspapers	Jongen (9) ontfermde zich in door lawine bedolven hotel over vriendjes https://t.co/SPJuf63xJh #Nieuws #Nederland	Jongen (9) ontfermde zich in door lawine bedolven hotel over vriendjes https://t.co/SPJuf63xJh #Nieuws #Nederland
824051189796995074	Maarten_Kaskens	@AliceSchippers @vandenendefonds @KroNcrv mag tot nu toe is de graadmeter der economie (al 400 jaar betrouwbaar) de… https://t.co/CSjubetKEd	@AliceSchippers @vandenendefonds @KroNcrv mag tot nu toe is de graadmeter der economie ( al 400 jaar betrouwbaar ) de … https://t.co/CSjubetKEd
824051194234597376	newzr_nl	Socialisten hebben genoeg van &#039;Berlusconi van Wallonië&#039; https://t.co/CFBoyOhDOx	Socialisten hebben genoeg van & #039 ; Berlusconi van Wallonië & #039 ; https://t.co/CFBoyOhDOx
824051194213662725	kiwidavid1	Kijken op 3.30 https://t.co/yEB705RtJM via @youtube	Kijken op 3.30 https://t.co/yEB705RtJM via @youtube
824051195505418240	achteraan	ff lekker #chill #gamen #relax #kkl https://t.co/HA5gZRk78o #lab	ff lekker #chill #gamen #relax #kkl https://t.co/HA5gZRk78o #lab
824051198319882240	AaronOoms	RT @VTMNIEUWS: [VIDEO] @johncrombez: "Dit is de duurste Vlaamse regering ooit" https://t.co/CrU44GbaBD https://t.co/3tRcO4ee95	RT @VTMNIEUWS : [ VIDEO ] @johncrombez : " Dit is de duurste Vlaamse regering ooit " https://t.co/CrU44GbaBD https://t.co/3tRcO4ee95
824051199200624641	RadioVdaal	Geniet van de Veense avond bij Radio Veenendaal met Macy Gray. https://t.co/hrxpzKskfb	Geniet van de Veense avond bij Radio Veenendaal met Macy Gray . https://t.co/hrxpzKskfb
824051198089134080	Brickwatch_BE	Een lagere prijs gevonden voor Lego Ford Mustang GT (75871). Nu €10.51 (-€2.99, RRP -42%) https://t.co/1KppDDNi0M https://t.co/ulDUmPcNnL	Een lagere prijs gevonden voor Lego Ford Mustang GT (75871). Nu €10.51 (-€2.99, RRP -42%) https://t.co/1KppDDNi0M https://t.co/ulDUmPcNnL
824051205680861185	Bo_oChrisy	RT @mauricecardon: maar bij jongens is da zoooo sexy 😍😍😍😍 https://t.co/4CI6ID7U7T	RT @mauricecardon : maar bij jongens is da zoooo sexy 😍😍😍😍 https://t.co/4CI6ID7U7T
824051206922309636	Nowlive_eu	Apple bouwt app om kwijtgeraakte oordopjes te vinden, nu op #NowliveEU. https://t.co/Sm7UrST2GR	Apple bouwt app om kwijtgeraakte oordopjes te vinden , nu op #NowliveEU . https://t.co/Sm7UrST2GR
824051208570765312	Providernieuws	Laatste bezwaar tegen zendmast in Zwolse wijk afgewezen door de rechter - RTV Oost https://t.co/nnFHpPDitG #Tmobile	Laatste bezwaar tegen zendmast in Zwolse wijk afgewezen door de rechter - RTV Oost https://t.co/nnFHpPDitG #Tmobile
824051211590660102	LeoKnock	RT @S_Derdelinckx: Virtual Reality ingezet om de fanbeleving van thuis uit te verhogen. Benieuwd wat dit brengt in de toekomst! https://t.c…	RT @S_Derdelinckx : Virtual Reality ingezet om de fanbeleving van thuis uit te verhogen . Benieuwd wat dit brengt in de toekomst ! https://t.c …
824051212383387649	David_Pijning	@KlaVeld @marktraa We hebben het hier over 1829. Deze epidemie trof het hele land en moet in steden een groot probleem zijn geweest.	@KlaVeld @marktraa We hebben het hier over 1829. Deze epidemie trof het hele land en moet in steden een groot probleem zijn geweest .
824051217621979137	jhusslage	@LodewijkA @MinPres Zeg Lodewijk, normale mensen wisten dit 4 jaar geleden al. Waarom zie jij dit nu pas?	@LodewijkA @MinPres Zeg Lodewijk , normale mensen wisten dit 4 jaar geleden al . Waarom zie jij dit nu pas ?
824051221208199168	coreen_conners	RT @dvanemmerik: Snif wat een prachtige winter https://t.co/vTSEgsQFbq	RT @dvanemmerik : Snif wat een prachtige winter https://t.co/vTSEgsQFbq
824051222248300545	AnnaBos7	@PKNnl ooh leuk, wanneer krijgen homo's dezelfde zegen als hetro's ?	@PKNnl ooh leuk , wanneer krijgen homo's dezelfde zegen als hetro's ?
824051222697144320	fozziebeertje	RT @Fub_Fub: En zo kun je de inburgerweigeraars dus dwingen in te burgeren, al verdient remigratie natuurlijk de voorkeur. https://t.co/zXA…	RT @Fub_Fub : En zo kun je de inburgerweigeraars dus dwingen in te burgeren , al verdient remigratie natuurlijk de voorkeur . https://t.co/zXA …
824051223338905604	grotemeloenen	ff lekker #chill #gamen #relax #kkl https://t.co/HfETCxgUWv #lab #biguptop	ff lekker #chill #gamen #relax #kkl https://t.co/HfETCxgUWv #lab #biguptop
824051219387875329	NewsVlmsBrabant	Stad kondigt uitbreiding kinderopvang aan op huldiging onthaalouders #VlaamsBrabant https://t.co/4fSA9ljGSP https://t.co/lvWUFUKuGR	Stad kondigt uitbreiding kinderopvang aan op huldiging onthaalouders #VlaamsBrabant https://t.co/4fSA9ljGSP https://t.co/lvWUFUKuGR
824051228858585089	jadegbbs	RT @ellendebeckx: Ik snap echt niet dat sommige mensen zo mooi elke dag op school kunnen zijn lik oke cv wi	RT @ellendebeckx : Ik snap echt niet dat sommige mensen zo mooi elke dag op school kunnen zijn lik oke cv wi
824051245665185792	giovannivande	RT @BELIEVEjanie: Gij bent echt de liefde van mijn leven ❤	RT @BELIEVEjanie : Gij bent echt de liefde van mijn leven ❤
824051246684323840	JandirkT	RT @PuntSeas: Vishandelaren blij met stopzetting pangasiusverkoop - Focus en WTV https://t.co/NoxoLmPbV4	RT @PuntSeas : Vishandelaren blij met stopzetting pangasiusverkoop - Focus en WTV https://t.co/NoxoLmPbV4
824051244331307010	TonySoprano272	RT @Percolator_HNJ: Partijen als #VVD en #D66 die samenwerking met politici #PVV bij voorbaat uitsluiten maken zich schuldig aan discri…	RT @Percolator_HNJ : Partijen als #VVD en #D66 die samenwerking met politici #PVV bij voorbaat uitsluiten maken zich schuldig aan discri …
824051257207881728	PSteenwinkel	@Mopperwezen @TheLeadCNN @jaketapper jawel, maar wat gaat voor:opgepakte journalisten, monddode wetenschappers, belangenverstrengeling, dit?	@Mopperwezen @TheLeadCNN @jaketapper jawel , maar wat gaat voor : opgepakte journalisten , monddode wetenschappers , belangenverstrengeling , dit ?
824051257589501952	jolanda1253	@D66 eerste kamer tweede kamer dank aan #lobbypolitiek wordt de zorg onbetaalbaar arme doneert (#zorgtoeslagje:) )de 90 jarige rijke krijgt	@D66 eerste kamer tweede kamer dank aan #lobbypolitiek wordt de zorg onbetaalbaar arme doneert ( #zorgtoeslagje :) ) de 90 jarige rijke krijgt
824051258256396289	gipjam	RT @karingiphart: Is het nu niet aan de ING om de Dakota pipeline te voorkomen? Aangezien jullie het geld lenen? @ING #dotherightthing #ver…	RT @karingiphart : Is het nu niet aan de ING om de Dakota pipeline te voorkomen ? Aangezien jullie het geld lenen ? @ING #dotherightthing #ver …
824051259212779522	Mariamatun	(possibly gives you the urge om moeilijk te kijken en lucht-viool te spelen)	( possibly gives you the urge om moeilijk te kijken en lucht-viool te spelen )
824051261460856832	LinekeK	@EWdeVlieger @jannyzeeland wat had jij verwacht?	@EWdeVlieger @jannyzeeland wat had jij verwacht ?
824051261368569860	PvvOntmaskerd	RT @Consumentenbert: De eerste Nederlandse #Trump-slachtoffers vallen wellicht in Schiedam https://t.co/wD9h7P0v2X	RT @Consumentenbert : De eerste Nederlandse #Trump - slachtoffers vallen wellicht in Schiedam https://t.co/wD9h7P0v2X
824051261251186690	fozziebeertje	RT @ZilteBotte: Stem PVV https://t.co/ErrOa5XENe	RT @ZilteBotte : Stem PVV https://t.co/ErrOa5XENe
824051262878613509	Mopperwezen	@WouterZwart Ging over zelfmoorden bij veteranen.	@WouterZwart Ging over zelfmoorden bij veteranen .
824051263138570241	ll_inclusive	RT @LisaSchaik: Goed om te weten voor de aankomende verkiezingen: wat willen partijen mbt duurzame economie? Kieswijzer van…	RT @LisaSchaik : Goed om te weten voor de aankomende verkiezingen : wat willen partijen mbt duurzame economie ? Kieswijzer van …
824051263050567680	Sambamagico	RT @Veldhorst__W: Dat wat de grote middenpartijen vergaten en dus werden CDA en PvdA opgevroten door de @VVD.... https://t.co/uS5h45128k	RT @Veldhorst__W : Dat wat de grote middenpartijen vergaten en dus werden CDA en PvdA opgevroten door de @VVD .... https://t.co/uS5h45128k
824051263788630016	Bubbelonia	RT @LennartvN: We zijn in de fase na 'minder minder minder', er wordt nu concreet in 'debatten' gesproken over oplossingen. Angstaanjagend.	RT @LennartvN : We zijn in de fase na ' minder minder minder ', er wordt nu concreet in ' debatten ' gesproken over oplossingen . Angstaanjagend .
824051278728822784	jaaperkoekie	Hij denkt zo van "da lukte nie oh my gawd" https://t.co/AeIdzssNmQ	Hij denkt zo van " da lukte nie oh my gawd " https://t.co/AeIdzssNmQ
824051281996169216	RLR_Alarm	a1 gerrit achterberglaan 3454VT de meern Ambulance met spoed naar Gerrit Achterberglaan in De Meern	a1 gerrit achterberglaan 3454 VT de meern Ambulance met spoed naar Gerrit Achterberglaan in De Meern
824051284235915264	Nornie_	@TwiddleCube @bloop @NezzaValentina HAHAHA miss voor u alle leerstress eweg	@TwiddleCube @bloop @NezzaValentina HAHAHA miss voor u alle leerstress eweg
824051283887869952	DenMan1977	Ik vind een @YouTube-video leuk: https://t.co/RUpmasmDQ2 Planet Coaster College - El Loco Coaster Tutorial	Ik vind een @YouTube - video leuk : https://t.co/RUpmasmDQ2 Planet Coaster College - El Loco Coaster Tutorial
824051288841351177	ArmandVervaeck	West-Vlaamse #bedrijven vinden geen #personeel https://t.co/bu6EI4nkEm via @tijd - Te veel #GratisGeld in omloop. Waarom dan nog #werken.	West-Vlaamse #bedrijven vinden geen #personeel https://t.co/bu6EI4nkEm via @tijd - Te veel #GratisGeld in omloop . Waarom dan nog #werken .
824051290154172416	Al_Capsones	@_pvdg Ik ben hopeloos in het huishouden. Als ik geen schoonmaakster had, had ik waarschijnlijk in een soort begeleid wonen gezeten! 😔	@_pvdg Ik ben hopeloos in het huishouden . Als ik geen schoonmaakster had , had ik waarschijnlijk in een soort begeleid wonen gezeten ! 😔
824051291378909184	fozziebeertje	RT @Fub_Fub: Komt er nog een rectificatie @NOS NOS-NEP-Nieuws ? https://t.co/elfRkkynyb	RT @Fub_Fub : Komt er nog een rectificatie @NOS NOS-NEP-Nieuws ? https://t.co/elfRkkynyb
