824844383262433284	DecockDounia	Laatste ki dak hier zit wi zeg (voorlopig toch) (@ bureau 📚📚📚) https://t.co/YIMxRxqtPR	Laatste ki dak hier zit wi zeg ( voorlopig toch ) (@ bureau 📚📚📚) https://t.co/YIMxRxqtPR
824853567454339073	AylaDew	RT @Jilkeverbeeck: Ik hou van mensen bij wie ik direct mezelf kan zijn en m'n verlegen fase kan overslaan	RT @Jilkeverbeeck : Ik hou van mensen bij wie ik direct mezelf kan zijn en m'n verlegen fase kan overslaan
824853567999586304	JeanToulalan	RT @PolitieHelmond: Gezocht! SPOED! De politie is dringend op zoek naar een Renault Scenic bouwjaar 2003 voorzien van het kenteken... http…	RT @PolitieHelmond : Gezocht ! SPOED ! De politie is dringend op zoek naar een Renault Scenic bouwjaar 2003 voorzien van het kenteken ... http …
824853573133479942	Missveldhoven	@Domien Gefeliciteerd Domien!!Maak er een leuke dag van!!🍻	@Domien Gefeliciteerd Domien !! Maak er een leuke dag van !!🍻
824853574031069187	BaburBeg	#StefBlok Minister. Huh? Eh ja; Van Veiligheid. Zeker nu #VVD Je hoeft geen mr te zijn om het opgeheven Ministerie van Justitie te leiden.	#StefBlok Minister . Huh ? Eh ja ; Van Veiligheid . Zeker nu #VVD Je hoeft geen mr te zijn om het opgeheven Ministerie van Justitie te leiden .
824853576669229056	Stefke_B	Vroeg opstaan is niet meer een van mijn specialiteiten....	Vroeg opstaan is niet meer een van mijn specialiteiten ....
824853577503944708	IngevandeVorst	2/2 Eerste opruimronde met coach overleefd. En de mooie surprise van mijn zusje 2 jaar geleden ook; op foto tenmins… https://t.co/EXxdaONz7B	2/2 Eerste opruimronde met coach overleefd . En de mooie surprise van mijn zusje 2 jaar geleden ook ; op foto tenmins … https://t.co/EXxdaONz7B
824853581484285953	noordzeeradiobe	Acht mensen naar ziekenhuis na brand https://t.co/JgFzgqfNQc #HLNBredene via @HLN_BE	Acht mensen naar ziekenhuis na brand https://t.co/JgFzgqfNQc #HLNBredene via @HLN_BE
824853582314745858	josmigchelbrink	RT @nrc: Van der Steur wilde zijn naam verdedigen, en niet meer zijn baan https://t.co/OIF54YXY1Q https://t.co/zsNv2r2HbK	RT @nrc : Van der Steur wilde zijn naam verdedigen , en niet meer zijn baan https://t.co/OIF54YXY1Q https://t.co/zsNv2r2HbK
824853586261577728	v_annemieke	Big brother is watching 24/7 maar nu even niet?.... Zoektocht naar verwarde man met dochter (9) in auto https://t.co/XOfh6K7zpj	Big brother is watching 24/7 maar nu even niet ?.... Zoektocht naar verwarde man met dochter (9) in auto https://t.co/XOfh6K7zpj
824853586714562561	Koenrobeys	@AndyKerkhofs Paradigma waarin "toevallige" gebeurtenissen heel nieuwe kansen uitdelen cruciaal zijn komt bij mijn weten uit ca jaren 70	@AndyKerkhofs Paradigma waarin " toevallige " gebeurtenissen heel nieuwe kansen uitdelen cruciaal zijn komt bij mijn weten uit ca jaren 70
824853594847318016	Daisy_AHS	RT @pasja4: Ik kus de traan op je wang Het smaakt net als het leven bitterzoet Wees niet langer bang Ik ben nu hier slaap goed	RT @pasja4 : Ik kus de traan op je wang Het smaakt net als het leven bitterzoet Wees niet langer bang Ik ben nu hier slaap goed
824853596478984192	chrisinactie	RT @Mnaada89: Gekke Amerikanen af en toe. Met een speciaal dieet en heel veel potjes met pillen autisme oplossen. *zucht* #hetishierautisti…	RT @Mnaada89 : Gekke Amerikanen af en toe . Met een speciaal dieet en heel veel potjes met pillen autisme oplossen . * zucht * #hetishierautisti …
824853600857755648	rereneetje	RT @Yvanderwal: Gaan we weer. #Autisme is GEEN ziekte! Dus kan het ook niet worden veroorzaakt door vaccinaties of voeding. #zucht 😠 #hetis…	RT @Yvanderwal : Gaan we weer . #Autisme is GEEN ziekte ! Dus kan het ook niet worden veroorzaakt door vaccinaties of voeding . #zucht 😠 #hetis …
824853601432457216	Lineke_D	RT @isgoedhoor: Beste minister Blok van nu ook @minv_j, gaat u nu ook achter malafide huisjesmelkers, schimmige woningbemiddelaars en foute…	RT @isgoedhoor : Beste minister Blok van nu ook @minv_j , gaat u nu ook achter malafide huisjesmelkers , schimmige woningbemiddelaars en foute …
824853604150358016	Schluter1976	RT @B_Notenboom: 2 gestolen fietsen uit #maassluis aangetroffen in Spijkenisse. Politie is op zoek naar de eigenaar. Bent u dit? Bel…	RT @B_Notenboom : 2 gestolen fietsen uit #maassluis aangetroffen in Spijkenisse . Politie is op zoek naar de eigenaar . Bent u dit ? Bel …
824853610970312704	SebsiSkoffa	@Sh0rtiiFR Eigenlijk kan hij terug ja die franse mocro's gunnen 'm de bal te weinig terwijl juist controlerend speelt daar😠😠	@Sh0rtiiFR Eigenlijk kan hij terug ja die franse mocro's gunnen 'm de bal te weinig terwijl juist controlerend speelt daar 😠😠
824853614631849987	NolfJan	@ArieDeMoor @SGeysenbergh @bartschols @DusauchoitChris @valerievanpeel mijn luisteren als magistraat naar dat misbruik alvast wel ...	@ArieDeMoor @SGeysenbergh @bartschols @DusauchoitChris @valerievanpeel mijn luisteren als magistraat naar dat misbruik alvast wel ...
824853615797899265	mareij1	RT @malmbergpo: Uitgevers nieuwe #nautmeanderbrandaan druk met de laatste loodjes. Kom langs op de #NOT2017 voor het inspirerende v…	RT @malmbergpo : Uitgevers nieuwe #nautmeanderbrandaan druk met de laatste loodjes . Kom langs op de #NOT2017 voor het inspirerende v…
824853616158601216	onnofficieel	@henkie72 Mogguh Henk. Nou inderdaad	@henkie72 Mogguh Henk . Nou inderdaad
824853617291059202	cultuurnerd	Niet helemaal onserieuze komedie is uiterst vermakelijk - Volkskrant - https://t.co/mvbHTZW7EP	Niet helemaal onserieuze komedie is uiterst vermakelijk - Volkskrant - https://t.co/mvbHTZW7EP
824853619799269378	NFD410	Weekje geleden wilde deze man ook al ff met Trump om de tafel. Ik ken mensen met een minder hoog eisenpakket. https://t.co/kcnGmx707z	Weekje geleden wilde deze man ook al ff met Trump om de tafel . Ik ken mensen met een minder hoog eisenpakket . https://t.co/kcnGmx707z
824853621258887168	BrandNed20	Autobrand in Utrechtse wijk Zuilen (RTV Utrecht), zie https://t.co/MTT3WeoHrd #brand	Autobrand in Utrechtse wijk Zuilen ( RTV Utrecht ), zie https://t.co/MTT3WeoHrd #brand
824853623154675712	nummer_zwei	@Aleksandrah Morgen	@Aleksandrah Morgen
824853632201797634	RogierVF	Volgens mij opent deze meneer een #MELDPUNT #r1jn (9x genoemd)	Volgens mij opent deze meneer een #MELDPUNT #r1jn (9x genoemd )
824853633762095104	DollenkampPeter	RT @dromenbetekenis: Een simpel compliment kan iemand z�n hele dag goed maken.	RT @dromenbetekenis : Een simpel compliment kan iemand z�n hele dag goed maken .
824853636542930944	VVDMmeiden	Programma: Meern De MO11-3 tegen DESTO MO11-4 op 28-01-2017 10:50 #orangeladiesontour	Programma : Meern De MO 11-3 tegen DESTO MO 11-4 op 28-01-2017 10:50 #orangeladiesontour
824853640284303361	Jet_Brekhoff	RT @__Stranger_2: Bellen op de fiets wordt verboden, appen door ministers tijdens een kamerdebat niet. Hoeveel minachting heb je dan voor j…	RT @__Stranger_2 : Bellen op de fiets wordt verboden , appen door ministers tijdens een kamerdebat niet . Hoeveel minachting heb je dan voor j…
824853640229773317	tipsverdiengeld	Zit Netflix in een bubbel? https://t.co/qtFeCmB8ty https://t.co/J1rvSIhUEJ	Zit Netflix in een bubbel ? https://t.co/qtFeCmB8ty https://t.co/J1rvSIhUEJ
824853642993770496	mareij1	RT @malmbergpo: Mijlpaal! De laatste van 60 visuele samenvattingen van nieuwe #NautMeanderBrandaan is af! Bedankt @studiockoe https://t.co/…	RT @malmbergpo : Mijlpaal ! De laatste van 60 visuele samenvattingen van nieuwe #NautMeanderBrandaan is af ! Bedankt @studiockoe https://t.co/ …
824853643060916228	JeltjevanHouten	RT @svenjense: NRC citeert: zeespiegel eind deze eeuw 2 - 2,5m hoger. Nederland berekent dijken nu op 1,20m. #kiesvoorklimaat https://t.co/…	RT @svenjense : NRC citeert : zeespiegel eind deze eeuw 2 - 2,5m hoger . Nederland berekent dijken nu op 1,20m. #kiesvoorklimaat https://t.co/ …
824853643237040128	troetje	@Legekip Hier ook bijna leeg, mogguh!	@Legekip Hier ook bijna leeg , mogguh !
824853643920683008	EdAldus	Dit kan ik goed gebruiken voor mijn vlogs en andere filmopname's. Wie heeft hier ervaring mee? Lijkt me erg tof 😀👌… https://t.co/XHBKZy88U3	Dit kan ik goed gebruiken voor mijn vlogs en andere filmopname's . Wie heeft hier ervaring mee ? Lijkt me erg tof 😀👌… https://t.co/XHBKZy88U3
824853645338382338	marjaruigrok	Dankzij oa inzet @MariannePoot https://t.co/BRXDRmLHK5	Dankzij oa inzet @MariannePoot https://t.co/BRXDRmLHK5
824853651290087424	lise_tack	RT @ouarane10: Wie is eerlijk met je deze tijd.	RT @ouarane10 : Wie is eerlijk met je deze tijd .
824853654368718852	Opperdoes3	Na Mitchell Dijks zegt ook Walter Ploeg 'nee' tegen Norwich City. De middenvelder heeft er, net als Dijks, geen goed gevoel bij.	Na Mitchell Dijks zegt ook Walter Ploeg ' nee ' tegen Norwich City . De middenvelder heeft er , net als Dijks , geen goed gevoel bij .
824853656436559873	SKWshop	P-voetbaldoelen. Nog altijd de meest verkochte #voetbaldoelen van Nederland https://t.co/Phj7RK9sWh #groningen #friesland #overijssel	P-voetbaldoelen . Nog altijd de meest verkochte #voetbaldoelen van Nederland https://t.co/Phj7RK9sWh #groningen #friesland #overijssel
824853660081336320	_PH5M	Goede morgen koffie tijd	Goede morgen koffie tijd
824853671867346945	ARTISTSPAGE	Ik heb een video toegevoegd aan een @YouTube-afspeellijst: https://t.co/OCvp4twbnw Jimmy Kimmel Visits Sesame Street	Ik heb een video toegevoegd aan een @YouTube - afspeellijst : https://t.co/OCvp4twbnw Jimmy Kimmel Visits Sesame Street
824853671720558596	Verdoncksjee	RT @Seb_dekeyzer: Skivakantie ALTIJD verkiezen boven strandvakantie https://t.co/E8ZZuF7dZc	RT @Seb_dekeyzer : Skivakantie ALTIJD verkiezen boven strandvakantie https://t.co/E8ZZuF7dZc
824853672588828673	ARTISTSPAGE	Ik vind een @YouTube-video leuk: https://t.co/OCvp4twbnw Jimmy Kimmel Visits Sesame Street	Ik vind een @YouTube - video leuk : https://t.co/OCvp4twbnw Jimmy Kimmel Visits Sesame Street
824853674702692352	jolandapikkaart	Als je een boek schrijft over je expertise, dan wil je daar natuurlijk ook over bloggen. @MarijevdBoof heeft 5 tips…https://t.co/sa9OsfVjje	Als je een boek schrijft over je expertise , dan wil je daar natuurlijk ook over bloggen . @MarijevdBoof heeft 5 tips … https://t.co/sa9OsfVjje
824853677412229121	ManonMarges	Staatssecretaris Klijnsma steekt een stokje voor basisinkomen Terneuzen - Joop https://t.co/l0LJN65N9u	Staatssecretaris Klijnsma steekt een stokje voor basisinkomen Terneuzen - Joop https://t.co/l0LJN65N9u
824853678917971974	lise_tack	RT @stephivdb: Aan die leeftijd u nog zo kinderachtig gedragen 🤔	RT @stephivdb : Aan die leeftijd u nog zo kinderachtig gedragen 🤔
824853679752650753	JacquesRoz	Motie (en wens) SGP 'belonen burgerinitiatief dmv jaarlijkse veiligheidsprijs' wordt alsnog uitgevoerd?! #Gouda https://t.co/11ovkjHVzd	Motie ( en wens ) SGP ' belonen burgerinitiatief dmv jaarlijkse veiligheidsprijs ' wordt alsnog uitgevoerd ?! #Gouda https://t.co/11ovkjHVzd
824853684253138946	DzUHC	UHC TO2 MAPA OP 0.16.X 30 SLOTS IP:158.69.127.176 PORT:40982 5 MIL WL OFF	UHC TO 2 MAPA OP 0.16.X 30 SLOTS IP :158.69.127.176 PORT :40982 5 MIL WL OFF
824853686530699264	only_girlthings	RT @TimonDeNeve: Kwil naar Parijs🗼	RT @TimonDeNeve : Kwil naar Parijs 🗼
824853688804003840	ARTISTSPAGE	Ik heb een video toegevoegd aan een @YouTube-afspeellijst: https://t.co/OCvp4twbnw Jimmy Kimmel Visits Sesame Street https://t.co/agshlS63Ol	Ik heb een video toegevoegd aan een @YouTube - afspeellijst : https://t.co/OCvp4twbnw Jimmy Kimmel Visits Sesame Street https://t.co/agshlS63Ol
824853693619073024	avdwerk	Gelukkig https://t.co/fA8B7Btzpx	Gelukkig https://t.co/fA8B7Btzpx
824853696378834945	Daisy_AHS	@Iris00010 eens!	@Iris00010 eens !
824853698975195136	NewsZemst	Cecilia brengt 45ste concert - Het Nieuwsblad #Zemst https://t.co/oITz2HXAiU	Cecilia brengt 45 ste concert - Het Nieuwsblad #Zemst https://t.co/oITz2HXAiU
824853700682215424	LaurenVrs	RT @misssult: Zit er kak in je ogen https://t.co/VpHFeYs1hN	RT @misssult : Zit er kak in je ogen https://t.co/VpHFeYs1hN
824853700657049600	ARTISTSPAGE	Ik vind een @YouTube-video leuk: https://t.co/OCvp4twbnw Jimmy Kimmel Visits Sesame Street https://t.co/Pq0jilYAiT	Ik vind een @YouTube - video leuk : https://t.co/OCvp4twbnw Jimmy Kimmel Visits Sesame Street https://t.co/Pq0jilYAiT
824853703119101952	scarabee77	Indeling sterrenbeelden op z’n kop https://t.co/Ywvd3xd9iQ	Indeling sterrenbeelden op z’n kop https://t.co/Ywvd3xd9iQ
824853703853084673	masmasmaza	@verheuljwv Mooi! worden wij blij van :)	@verheuljwv Mooi ! worden wij blij van :)
824853707862913025	GuusKuijer	Hij is voor marteling. Ik heb besloten dat ik de datum van zijn impeachment nog niet bekend maak.	Hij is voor marteling . Ik heb besloten dat ik de datum van zijn impeachment nog niet bekend maak .
824853706994692096	NewsRoeselare	Twenco en Kayla eerste Roeselaarse stadsdichters #Roeselare https://t.co/tRpp0oUBeh https://t.co/EQ5j1xiYLS	Twenco en Kayla eerste Roeselaarse stadsdichters #Roeselare https://t.co/tRpp0oUBeh https://t.co/EQ5j1xiYLS
824853710996008961	NewsZemst	Steun voor Kinderkankerfonds - Het Nieuwsblad #Zemst https://t.co/QHd9Q3LGup	Steun voor Kinderkankerfonds - Het Nieuwsblad #Zemst https://t.co/QHd9Q3LGup
824853714649255937	ICTzoektwerk	Heb je deze #vacature al gezien: Medewerker Customer Support (m/v) https://t.co/lIEVToUZRy #CSB-SYSTEM AG	Heb je deze #vacature al gezien : Medewerker Customer Support (m/v) https://t.co/lIEVToUZRy #CSB - SYSTEM AG
824853715207139328	NewsRoeselare	Stalker belde zijn slachtoffers vanuit gevangenis #Roeselare https://t.co/oWxMRDftRB	Stalker belde zijn slachtoffers vanuit gevangenis #Roeselare https://t.co/oWxMRDftRB
824853716553519106	robijn_lisa	RT @JoppeTeugels: Best iets knap gij, amai	RT @JoppeTeugels : Best iets knap gij , amai
824853717891428352	VacatureBaan	Tijd voor iets nieuws? #vacature #JouwBaan QA Coordinator https://t.co/yDFqMgAXb4	Tijd voor iets nieuws ? #vacature #JouwBaan QA Coordinator https://t.co/yDFqMgAXb4
824853717912391681	HBOWO_vacatures	Nieuwe #vacature #JouwBaan Productmanager Meubelen https://t.co/FSCzR4ZcdJ	Nieuwe #vacature #JouwBaan Productmanager Meubelen https://t.co/FSCzR4ZcdJ
824853722375131137	dutchdude070	@Djuku Haha. Blauwe aders op een stuk plastic schilderen.	@Djuku Haha . Blauwe aders op een stuk plastic schilderen .
824853721523712002	NewsRoeselare	Onbekende man duikt op in zoektocht naar moordenaar van Sofie (27) #Roeselare https://t.co/EHPdcZ76KK https://t.co/vPghPDtXOg	Onbekende man duikt op in zoektocht naar moordenaar van Sofie (27) #Roeselare https://t.co/EHPdcZ76KK https://t.co/vPghPDtXOg
824853725357281280	pvbprive	Wat erg he, dit toon beeld voor de volle 2e kamer https://t.co/PKgOZIgqyl	Wat erg he , dit toon beeld voor de volle 2e kamer https://t.co/PKgOZIgqyl
824853730973474816	FashionFountain	#Paris Nu #opheffings #uitverkoop met 50% #korting op allerlei soorten #mode https://t.co/w2Ei4mAOT0	#Paris Nu #opheffings #uitverkoop met 50% #korting op allerlei soorten #mode https://t.co/w2Ei4mAOT0
824853732181499904	GhostRockers_XD	@anneliesvdvp die van goudslang vond het precies wel leuk he kissing kissie	@anneliesvdvp die van goudslang vond het precies wel leuk he kissing kissie
824853737873174529	BennOostenbrink	@huijgen Misschien soms een beetje "bijsturen"? @Dennis_vd_Wal @zinenzo	@huijgen Misschien soms een beetje " bijsturen "? @Dennis_vd_Wal @zinenzo
824853737613058048	Vlaanderen	#HLN Maxima klimmen tot 9 graden, opgelet voor CO-intoxicatie https://t.co/goKAx42eu0 #binnenland https://t.co/6udWvM6B0C	#HLN Maxima klimmen tot 9 graden , opgelet voor CO-intoxicatie https://t.co/goKAx42eu0 #binnenland https://t.co/6udWvM6B0C
824853738485452801	gekvansport	Redirecting to /artikel/2155097-het-gaat-in-berlijn-nu-al-om-de-wk-afstanden.html - https://t.co/bXdem6Xe9U	Redirecting to / artikel /2155097- het-gaat-in-berlijn-nu-al-om-de-wk-afstanden . html - https://t.co/bXdem6Xe9U
824853735553667073	mafchauffeur	Goedemorgen lieve mensen!!! #vaatdoekjes https://t.co/4PFps1KlbW	Goedemorgen lieve mensen !!! #vaatdoekjes https://t.co/4PFps1KlbW
824853740192559105	mompel007	@JMGNL @NOS een brandmelder van €8 is goedkoper	@JMGNL @NOS een brandmelder van €8 is goedkoper
824853744273682432	vester71	@Zaans_Mugje nu nog?	@Zaans_Mugje nu nog ?
824853742868590592	leeuwarden	Buurt boos om plan Tesselschadestraat: Er komen mogelijk appartementenflats aan de zuidrand van het oude…… https://t.co/diyt29LGIE	Buurt boos om plan Tesselschadestraat : Er komen mogelijk appartementenflats aan de zuidrand van het oude …… https://t.co/diyt29LGIE
824853741618683904	DTGLinkedIn	Nespresso zorgt voor een unieke end-to-end koffiebeleving. Dit kan jij ervan leren: https://t.co/7JU8NvimZJ https://t.co/q93smWAkAW	Nespresso zorgt voor een unieke end-to-end koffiebeleving . Dit kan jij ervan leren : https://t.co/7JU8NvimZJ https://t.co/q93smWAkAW
824853749369671680	IngridDeVries11	@mariele1972 @DesireeKersten @gewoonjessie @LisaEHBO ik geloofde ook dat het hele lieve mannen waren maar schijn bedriegd dus	@mariele1972 @DesireeKersten @gewoonjessie @LisaEHBO ik geloofde ook dat het hele lieve mannen waren maar schijn bedriegd dus
824853752200900609	ChayenneElias	RT @BeresoleJens: Deze maatschappij is niet meer serieus , kwil hier weg	RT @BeresoleJens : Deze maatschappij is niet meer serieus , kwil hier weg
824853752276348928	MichielWerkman	#Rabobank mededeling niet vertrouwenwekkend dat zij 1500 #mkb'ers met renteswap niet gaan vergoeden https://t.co/UuR7d4vnr7 #Renteswapgate	#Rabobank mededeling niet vertrouwenwekkend dat zij 1500 #mkb ' ers met renteswap niet gaan vergoeden https://t.co/UuR7d4vnr7 #Renteswapgate
824853753429757958	only_girlthings	RT @PrincelaBoatey: Echt mijn vader denkt dat het leven enkel uit school bestaat like annoying af	RT @PrincelaBoatey : Echt mijn vader denkt dat het leven enkel uit school bestaat like annoying af
824853753517871105	ARTISTSPAGE	Ik heb een video toegevoegd aan een @YouTube-afspeellijst: https://t.co/uCSrccF544 ZAYN & Taylor Swift - I Don't Wanna Live Forever	Ik heb een video toegevoegd aan een @YouTube - afspeellijst : https://t.co/uCSrccF544 ZAYN & Taylor Swift - I Don't Wanna Live Forever
824853756986609664	bdwn89	RT @DebbyNobel: Nieuws! De Oscars zijn dit jaar live te bekijken onder de dekens op je tablet via Superguide.nl en in de app. En óók nog op…	RT @DebbyNobel : Nieuws ! De Oscars zijn dit jaar live te bekijken onder de dekens op je tablet via Superguide . nl en in de app . En óók nog op …
824853756978176001	chrisinactie	RT @HARRY205: Rutte is de mol,de één na de andere VVD'er verlaat het kabinet op dit dossier,maar de mol gaat nooit naar huis!! #steurdebat…	RT @HARRY205 : Rutte is de mol , de één na de andere VVD'er verlaat het kabinet op dit dossier , maar de mol gaat nooit naar huis !! #steurdebat …
824853758836215809	LukasFlockert	@JonasM_YT @PaulBuening Danke, echt...😂	@JonasM_YT @PaulBuening Danke , echt ...😂
824853759142473728	erik_knol	@mariele1972 @DesireeKersten ga op weg maar eerst nog ff een vuiltje wegwerken ☹ https://t.co/5GnN9KD0XA	@mariele1972 @DesireeKersten ga op weg maar eerst nog ff een vuiltje wegwerken ☹ https://t.co/5GnN9KD0XA
824853762397216768	v_annemieke	@crist_aal ja ik voelde het al toen ik er nog in lag ⛄	@crist_aal ja ik voelde het al toen ik er nog in lag ⛄
824853774216728581	ARTISTSPAGE	Ik heb een video toegevoegd aan een @YouTube-afspeellijst: https://t.co/uCSrccF544 ZAYN & Taylor Swift - I Don't... https://t.co/bfvK2WGwIp	Ik heb een video toegevoegd aan een @YouTube - afspeellijst : https://t.co/uCSrccF544 ZAYN & Taylor Swift - I Don't ... https://t.co/bfvK2WGwIp
824853774631997443	DirkGerard	Zet er nog een nulletje of 2 achter https://t.co/HkYA2BqkNe	Zet er nog een nulletje of 2 achter https://t.co/HkYA2BqkNe
824853776695586820	Ytumas50	RT @usjen1: @Ytumas50 Fijne leuke gezellige Dag verder 👻💧💧💧 https://t.co/Wy77fPtcyf	RT @usjen1 : @Ytumas50 Fijne leuke gezellige Dag verder 👻💧💧💧 https://t.co/Wy77fPtcyf
824853777836486656	ARTISTSPAGE	Ik vind een @YouTube-video van @madilynbailey leuk: https://t.co/uCSrccF544 ZAYN & Taylor Swift - I Don't Wanna... https://t.co/E8N4vVhUJa	Ik vind een @YouTube - video van @madilynbailey leuk : https://t.co/uCSrccF544 ZAYN & Taylor Swift - I Don't Wanna ... https://t.co/E8N4vVhUJa
824853777005965312	VVDMmeiden	Programma: Houten MO13-1 tegen Meern De MO13-1 op 28-01-2017 08:30 #orangeladiesontour	Programma : Houten MO 13-1 tegen Meern De MO 13-1 op 28-01-2017 08:30 #orangeladiesontour
824853780839542784	TracySpoor	RT @ImmanuelNijssen: Kabinet ontraadt wetsvoorstel verbod winstuitkering: veel systeem-en juridische risico'; niet getoetst op impact voor…	RT @ImmanuelNijssen : Kabinet ontraadt wetsvoorstel verbod winstuitkering : veel systeem-en juridische risico '; niet getoetst op impact voor …
824853781884002304	WHUFC_Helmond	BIJNA WEEKEND! 😎	BIJNA WEEKEND ! 😎
824853782609616902	Kidefrian	RT @pvbprive: Ik help zo als altijd, mijn vriend. Niet een. Ze durven niet eens naar binnen te gaan voor controle. Wel bij de Hel…	RT @pvbprive : Ik help zo als altijd , mijn vriend . Niet een . Ze durven niet eens naar binnen te gaan voor controle . Wel bij de Hel …
824853786866823169	ridleyrijder	Waar een wil is, is een weg.. https://t.co/cboqXROTqu	Waar een wil is , is een weg .. https://t.co/cboqXROTqu
824853791438565376	ellendeleeuw	Wat een vooringenomen headliner @robertgiebels #basisinkomen https://t.co/rNUajG7LoU via @volkskrant	Wat een vooringenomen headliner @robertgiebels #basisinkomen https://t.co/rNUajG7LoU via @volkskrant
824853793074327552	chrisinactie	RT @koosdirkse: G e w e l d i g !!! https://t.co/UEcmri1HjA	RT @koosdirkse : G e w e l d i g !!! https://t.co/UEcmri1HjA
824853794546552835	de_bliek	RT @johandeklerk2: Heel veel retweeten https://t.co/PmE780id96	RT @johandeklerk2 : Heel veel retweeten https://t.co/PmE780id96
824853797457440768	ergveelshit	"Hij/zij is zo irritant en bij de hand he..." "hij/zij loopt achter je.." "OH FUCK, SORRY, IK BEDOELDE HET NIET ZO" https://t.co/HlevSNWCno	" Hij / zij is zo irritant en bij de hand he ..." " hij / zij loopt achter je .." " OH FUCK , SORRY , IK BEDOELDE HET NIET ZO " https://t.co/HlevSNWCno
824853798652817409	LivCrabbe	RT @Charluvv: Blijkbaar ben ik een wolf https://t.co/9vxiXBYGsw	RT @Charluvv : Blijkbaar ben ik een wolf https://t.co/9vxiXBYGsw
824853802570231809	Nerd_nieuwtjes	Marvel en Square Enix werken aan een epische Avenger-game waar we volgend jaar pas meer over zullen horen... https://t.co/v0gWItTSTQ	Marvel en Square Enix werken aan een epische Avenger-game waar we volgend jaar pas meer over zullen horen ... https://t.co/v0gWItTSTQ
824853802943553538	BoxtelFerry	@AnnekeVisser1 Goedemorgen en een fijne dag	@AnnekeVisser1 Goedemorgen en een fijne dag
824853805221023744	scarabee77	Indeling sterrenbeelden op z’n kop https://t.co/ziPKMdd8bD via @nrc	Indeling sterrenbeelden op z’n kop https://t.co/ziPKMdd8bD via @nrc
824853811382456320	OfficialRowann	@Ch33seFarts @DynamicNigel wasp reporter op	@Ch33seFarts @DynamicNigel wasp reporter op
824853812280123396	Rabellamaria	😂 #verkiezingsretoriek #verkiezingen2017 Radicale verandering door #bindendreferendum en #Nexit graag!!! https://t.co/oi0evXZirJ	😂 #verkiezingsretoriek #verkiezingen2017 Radicale verandering door #bindendreferendum en #Nexit graag !!! https://t.co/oi0evXZirJ
824853813630603264	6yrsthailand	@R_de_Collier @ADnl werkverschaffing, instanties doen niets of weinig maar krijgen er wel voor betaald😡	@R_de_Collier @ADnl werkverschaffing , instanties doen niets of weinig maar krijgen er wel voor betaald 😡
824853814989639680	fiebeacx	RT @ArtieBlue_: De dag dat ik mijn moeder verlies, ben ik alles kwijt.	RT @ArtieBlue_ : De dag dat ik mijn moeder verlies , ben ik alles kwijt .
824853816063299584	harbrinkhoek_nl	RT @WB_St_Joris: De SILA als 'stille kracht' achter de kerkelijke ledenadministratie. Hoe belangrijk is dat.🤔 https://t.co/ztKD6IvpVu https…	RT @WB_St_Joris : De SILA als ' stille kracht ' achter de kerkelijke ledenadministratie . Hoe belangrijk is dat .🤔 https://t.co/ztKD6IvpVu https …
824853815690006528	ReenvalSA	Dit storm in Stellenbosch Foto Gary Dean Arendse @peoples_weather @SAWeatherServic @eNCAWeather @huisgenoot @News24 https://t.co/72eTxpkVEO	Dit storm in Stellenbosch Foto Gary Dean Arendse @peoples_weather @SAWeatherServic @eNCAWeather @huisgenoot @News24 https://t.co/72eTxpkVEO
824853817078353921	GerritZier	@Musicalsites @urvinmonte Maak er een spectakel en prachtig afscheid van!	@Musicalsites @urvinmonte Maak er een spectakel en prachtig afscheid van !
824853818005352448	Buffy1805	RT @rodewijntjes: Rutte zoekt de betekenis van het woord "vertrouwen" op... #steurdebat https://t.co/q8jcqFkquk	RT @rodewijntjes : Rutte zoekt de betekenis van het woord " vertrouwen " op ... #steurdebat https://t.co/q8jcqFkquk
824853821050417160	AlexWoolley_	@SilkeVanMarcke nee ma het feit da die da kan doen in de 1e plaats, is het probleem net	@SilkeVanMarcke nee ma het feit da die da kan doen in de 1e plaats , is het probleem net
824853821461368832	Langhenkel	CZ gaat schulden overnemen van probleemgezinnen https://t.co/Rv2WiqA2XQ	CZ gaat schulden overnemen van probleemgezinnen https://t.co/Rv2WiqA2XQ
824853822237335552	ErikaKruger5	@CliffordRobots @Distillique Kop hou buurman, kop hou 💚	@CliffordRobots @Distillique Kop hou buurman , kop hou 💚
824853828730122243	CaroAllemand1	Shit, net mijn spaarkaart vol. Wat te doen? #ahpannenaktie https://t.co/bDK8BBecRl	Shit , net mijn spaarkaart vol . Wat te doen ? #ahpannenaktie https://t.co/bDK8BBecRl
824853828671397889	lisavstarrenbu3	Waarom ga je nou net weer live als ik dr nie ben😂😂😂@KAJVANDERVOORT	Waarom ga je nou net weer live als ik dr nie ben 😂😂😂 @KAJVANDERVOORT
824853830214914048	keeeshagen	RT @groothuisbouw: Bouwen op Vlieland... Ook deze uitdaging gaat Groothuisbouw graag aan! https://t.co/pkuUZ7I2qA https://t.co/BLrQUxuDET	RT @groothuisbouw : Bouwen op Vlieland ... Ook deze uitdaging gaat Groothuisbouw graag aan ! https://t.co/pkuUZ7I2qA https://t.co/BLrQUxuDET
